ticket_id,customer_id,ticket_date,issue_type,resolved
TKT0048-1,CUST00111,2024-04-28,Billing,Yes
TKT0049-1,CUST00231,2024-08-26,Billing,Yes
TKT0049-2,CUST00231,2024-09-15,Technical Error,Yes
TKT0050-1,CUST00180,2024-07-20,Login Issue,Yes
TKT0050-2,CUST00180,2024-07-19,Technical Error,Yes
TKT0050-3,CUST00180,2024-07-14,Other,Yes
TKT0051-1,CUST00144,2024-06-21,Billing,Yes
TKT0051-2,CUST00144,2024-05-28,Login Issue,Yes
TKT0051-3,CUST00144,2024-06-16,Billing,Yes
TKT0052-1,CUST00239,2024-09-18,Login Issue,Yes
TKT0053-1,CUST00075,2024-03-30,Login Issue,Yes
TKT0053-2,CUST00075,2024-04-10,Login Issue,No
TKT0054-1,CUST00297,2024-11-09,Other,Yes
TKT0054-2,CUST00297,2024-11-01,Account Setup,Yes
TKT0054-3,CUST00297,2024-11-13,Technical Error,Yes
TKT0055-1,CUST00278,2024-05-14,Account Setup,Yes
TKT0055-2,CUST00278,2024-05-14,Other,No
TKT0055-3,CUST00278,2024-05-19,Account Setup,Yes
TKT0056-1,CUST00097,2024-07-12,Login Issue,No
TKT0056-2,CUST00097,2024-07-16,Technical Error,Yes
TKT0057-1,CUST00092,2024-02-11,Billing,Yes
TKT0058-1,CUST00192,2024-12-02,Billing,Yes
TKT0058-2,CUST00192,2024-11-28,Account Setup,Yes
TKT0058-3,CUST00192,2024-11-18,Login Issue,Yes
TKT0059-1,CUST00025,2024-02-24,Account Setup,Yes
